imageName,cameraSN,cameraID,POSIXTime,i,j,k,x,y,z,roiFFTEnergy,rouFFTEnergy,imageMean,referenceBeamIntensity,objectBeamIntensity,ch2Mean,ch3Mean,ch0Std,ch1Std,ch2Std,ch3Std
hologramImage1,0009080805D00933,camera206,68594394,0,0,0,2,0,0.1,9.76142e+06,2.06623e+06,196.613,0,0,0,0,0,0,0,0
hologramImage2,0009080805D00933,camera206,68596038,1,0,0,2.7,0,0.1,1.04679e+07,2.07294e+06,196.494,3.10523,0.759298,5.3292,1.03941,0.185026,0.125649,0.124361,0.12576
hologramImage3,0009080805D00933,camera206,68597654,2,0,0,3.4,0,0.1,1.12373e+07,2.06424e+06,196.996,3.10285,0.764193,5.30741,1.04109,0.185072,0.125989,0.126405,0.126171
hologramImage4,0009080805D00933,camera206,68599269,3,0,0,4.1,0,0.1,1.16166e+07,2.02565e+06,195.417,3.12175,0.767269,5.28649,1.04064,0.186681,0.125835,0.127245,0.126089
hologramImage5,0009080805D00933,camera206,68600875,4,0,0,4.8,0,0.1,1.22492e+07,2.02318e+06,193.593,3.03649,0.769056,5.30305,1.03939,0.181327,0.125925,0.125303,0.126105
hologramImage6,0009080805D00933,camera206,68602497,5,0,0,5.5,0,0.1,1.28113e+07,2.0245e+06,192.668,3.09102,0.786991,5.3125,1.04116,0.183979,0.126091,0.125354,0.126135
hologramImage7,0009080805D00933,camera206,68604101,6,0,0,6.2,0,0.1,1.24027e+07,2.00984e+06,193.73,3.07999,0.789677,5.29803,1.04094,0.1851,0.126059,0.127617,0.126108
hologramImage8,0009080805D00933,camera206,68605712,7,0,0,6.9,0,0.1,1.37145e+07,2.02311e+06,193.824,3.11291,0.792784,5.32262,1.04085,0.184957,0.12604,0.125376,0.126116
hologramImage9,0009080805D00933,camera206,68607336,8,0,0,7.6,0,0.1,1.38095e+07,2.02269e+06,194.703,3.1177,0.796087,5.31382,1.04112,0.185793,0.125981,0.126425,0.126019
hologramImage10,0009080805D00933,camera206,68608946,9,0,0,8.3,0,0.1,1.40285e+07,2.01736e+06,193.85,3.14615,0.798468,5.32842,1.04043,0.186481,0.125901,0.127644,0.126039
hologramImage11,0009080805D00933,camera206,68610563,10,0,0,9,0,0.1,1.42397e+07,2.02247e+06,194.815,3.12935,0.801607,5.2921,1.04066,0.186405,0.126011,0.127114,0.126022
hologramImage12,0009080805D00933,camera206,68612161,11,0,0,9.7,0,0.1,1.43371e+07,2.01874e+06,194.356,3.15893,0.804605,5.31735,1.04071,0.185664,0.125783,0.125384,0.125872
hologramImage13,0009080805D00933,camera206,68613782,12,0,0,10.4,0,0.1,1.39818e+07,2.02266e+06,195.088,3.12393,0.807665,5.32219,1.04099,0.184638,0.125914,0.12603,0.125909
hologramImage14,0009080805D00933,camera206,68615363,13,0,0,11.1,0,0.1,1.44782e+07,2.0371e+06,195.681,3.16486,0.810324,5.30664,1.0408,0.187462,0.125785,0.126609,0.125798
hologramImage15,0009080805D00933,camera206,68616996,14,0,0,11.8,0,0.1,1.45108e+07,2.0208e+06,194.479,3.18245,0.812973,5.33192,1.04077,0.187745,0.125841,0.126633,0.125895
hologramImage16,0009080805D00933,camera206,68618608,15,0,0,12.5,0,0.1,1.48255e+07,2.03697e+06,196.191,3.14818,0.81554,5.31847,1.04061,0.18531,0.125889,0.125398,0.125911
hologramImage17,0009080805D00933,camera206,68620214,16,0,0,13.2,0,0.1,1.48041e+07,2.03055e+06,195.909,3.2034,0.818278,5.33992,1.04071,0.188213,0.125817,0.126135,0.125871
hologramImage18,0009080805D00933,camera206,68621834,17,0,0,13.9,0,0.1,1.51053e+07,2.02185e+06,196.181,3.19697,0.820651,5.33117,1.0405,0.18823,0.125686,0.125615,0.125716
hologramImage19,0009080805D00933,camera206,68623457,18,0,0,14.6,0,0.1,1.4477e+07,2.02125e+06,196.01,3.21036,0.823292,5.33334,1.04071,0.189516,0.125788,0.126826,0.125804
hologramImage20,0009080805D00933,camera206,68625074,19,0,0,15.3,0,0.1,1.50309e+07,2.02192e+06,196.207,3.19851,0.825731,5.35961,1.04059,0.188067,0.125719,0.125725,0.125728
hologramImage21,0009080805D00933,camera206,68626701,20,0,0,16,0,0.1,1.46427e+07,1.99615e+06,194.666,3.21063,0.828651,5.35345,1.04108,0.189539,0.125832,0.126479,0.125822
hologramImage22,0009080805D00933,camera206,68628327,21,0,0,16.7,0,0.1,1.47933e+07,2.0079e+06,195.424,3.14358,0.830629,5.35585,1.04091,0.186846,0.126047,0.126906,0.125995
hologramImage23,0009080805D00933,camera206,68629934,22,0,0,17.4,0,0.1,1.47204e+07,1.98469e+06,194.048,3.16972,0.832943,5.35556,1.04095,0.187927,0.12595,0.126261,0.125928
hologramImage24,0009080805D00933,camera206,68631521,23,0,0,18.1,0,0.1,1.50112e+07,1.98857e+06,194.246,3.1182,0.835492,5.33617,1.04134,0.185876,0.126107,0.126004,0.12601
hologramImage25,0009080805D00933,camera206,68633123,24,0,0,18.8,0,0.1,1.52441e+07,1.99169e+06,194.814,3.13027,0.836987,5.32434,1.04086,0.186747,0.125956,0.125573,0.125894
hologramImage26,0009080805D00933,camera206,68634755,25,0,0,19.5,0,0.1,1.52528e+07,1.99047e+06,195.19,3.13698,0.839199,5.35884,1.04098,0.186543,0.126042,0.12623,0.125987
hologramImage27,0009080805D00933,camera206,68636350,26,0,0,20.2,0,0.1,1.50155e+07,1.98442e+06,194.002,3.15919,0.841251,5.33654,1.04098,0.187866,0.126005,0.124674,0.125947
hologramImage28,0009080805D00933,camera206,68637963,27,0,0,20.9,0,0.1,1.5341e+07,1.97866e+06,194.207,3.10643,0.842926,5.36475,1.04077,0.186041,0.126067,0.124965,0.12594
hologramImage29,0009080805D00933,camera206,68639592,28,0,0,21.6,0,0.1,1.52364e+07,2.00813e+06,195.995,3.11921,0.844961,5.37277,1.04081,0.182057,0.125898,0.127407,0.125976
hologramImage30,0009080805D00933,camera206,68641216,29,0,0,22.3,0,0.1,1.51035e+07,2.00419e+06,195.188,3.18974,0.846762,5.36856,1.04078,0.187729,0.125952,0.125446,0.125938
hologramImage31,0009080805D00933,camera206,68642834,30,0,0,23,0,0.1,1.50584e+07,2.00785e+06,196.604,3.16731,0.848659,5.33506,1.04077,0.18727,0.126114,0.12673,0.126049
hologramImage32,0009080805D00933,camera206,68644448,31,0,0,23.7,0,0.1,1.50688e+07,1.99867e+06,196.287,3.20278,0.850589,5.38655,1.04073,0.188596,0.125856,0.128429,0.125838
hologramImage33,0009080805D00933,camera206,68646075,32,0,0,24.4,0,0.1,1.50311e+07,1.99988e+06,195.76,3.20272,0.852263,5.35227,1.04057,0.187845,0.125857,0.124481,0.125811
hologramImage34,0009080805D00933,camera206,68647689,33,0,0,25.1,0,0.1,1.46792e+07,2.00913e+06,196.146,3.18576,0.854504,5.34513,1.04088,0.187678,0.125952,0.126886,0.125899
hologramImage35,0009080805D00933,camera206,68649318,34,0,0,25.8,0,0.1,1.46537e+07,2.02023e+06,196.832,3.19924,0.856282,5.35127,1.04083,0.187855,0.125849,0.125004,0.12578
hologramImage36,0009080805D00933,camera206,68650935,35,0,0,26.5,0,0.1,1.48085e+07,2.02042e+06,197.098,3.23362,0.857831,5.34171,1.04049,0.188701,0.125895,0.125593,0.125838
hologramImage37,0009080805D00933,camera206,68652553,36,0,0,27.2,0,0.1,1.48438e+07,2.01756e+06,196.421,3.24393,0.860026,5.35992,1.04075,0.188879,0.12588,0.127532,0.125878
