imageName,cameraID,POSIXTime,i,j,k,ustxX,ustxZ,x,y,z,azimuth,axial,roiFFTEnergy,rouFFTEnergy,imageMean,referenceBeamIntensity,objectBeamIntensity,ch2Mean,ch3Mean,ch0Std,ch1Std,ch2Std,ch3Std
hologramImage1,213,112942307,0,0,0,0,0,0,0,38,0,18,1.17899e+07,6.67104e+06,430.198,0,0,0,0,0,0,0,0
hologramImage2,213,112943077,1,0,0,0,0,1,0,38,0,18,1.1783e+07,6.66292e+06,435.198,0,0,0,0,0,0,0,0
hologramImage3,213,112943857,2,0,0,0,0,2,0,38,0,18,1.23445e+07,6.846e+06,438.245,0,0,0,0,0,0,0,0
hologramImage4,213,112944637,3,0,0,0,0,3,0,38,0,18,1.37906e+07,6.60732e+06,433.943,0,0,0,0,0,0,0,0
hologramImage5,213,112945557,4,0,0,0,0,4,0,38,0,18,1.5762e+07,7.06959e+06,452.557,0,0,0,0,0,0,0,0
hologramImage6,213,112946337,5,0,0,0,0,5,0,38,0,18,1.5305e+07,6.80607e+06,443.343,0,0,0,0,0,0,0,0
hologramImage7,213,112947127,6,0,0,0,0,6,0,38,0,18,1.57471e+07,6.79524e+06,443.626,0,0,0,0,0,0,0,0
hologramImage8,213,112947977,7,0,0,0,0,7,0,38,0,18,1.56113e+07,6.84627e+06,445.027,0,0,0,0,0,0,0,0
hologramImage9,213,112948747,8,0,0,0,0,8,0,38,0,18,1.53891e+07,7.01791e+06,442.501,0,0,0,0,0,0,0,0
hologramImage10,213,112949627,9,0,0,0,0,9,0,38,0,18,1.53171e+07,6.67431e+06,434.387,0,0,0,0,0,0,0,0
hologramImage11,213,112950447,10,0,0,0,0,10,0,38,0,18,1.69594e+07,6.90785e+06,442.141,0,0,0,0,0,0,0,0
hologramImage12,213,112951257,11,0,0,0,0,11,0,38,0,18,1.72134e+07,7.00725e+06,444.046,0,0,0,0,0,0,0,0
hologramImage13,213,112952007,12,0,0,0,0,12,0,38,0,18,1.82498e+07,7.15888e+06,453.62,0,0,0,0,0,0,0,0
hologramImage14,213,112952757,13,0,0,0,0,13,0,38,0,18,1.77507e+07,7.06156e+06,447.056,0,0,0,0,0,0,0,0
hologramImage15,213,112953557,14,0,0,0,0,14,0,38,0,18,1.73151e+07,7.03803e+06,446.986,0,0,0,0,0,0,0,0
hologramImage16,213,112954357,15,0,0,0,0,15,0,38,0,18,1.49028e+07,6.81712e+06,433.494,0,0,0,0,0,0,0,0
hologramImage17,213,112955137,16,0,0,0,0,16,0,38,0,18,1.71698e+07,7.08926e+06,449.701,0,0,0,0,0,0,0,0
hologramImage18,213,112955917,17,0,0,0,0,17,0,38,0,18,1.24553e+07,6.90598e+06,447.907,0,0,0,0,0,0,0,0
hologramImage19,213,112956757,18,0,0,0,0,18,0,38,0,18,1.44598e+07,7.07726e+06,450.175,0,0,0,0,0,0,0,0
hologramImage20,213,112957467,19,0,0,0,0,19,0,38,0,18,1.99569e+07,6.91468e+06,448.08,0,0,0,0,0,0,0,0
hologramImage21,213,112958187,20,0,0,0,0,20,0,38,0,18,1.52849e+07,7.01074e+06,443.831,0,0,0,0,0,0,0,0
hologramImage22,213,112958907,21,0,0,0,0,21,0,38,0,18,1.11359e+07,6.97873e+06,437.651,0,0,0,0,0,0,0,0
hologramImage23,213,112959697,22,0,0,0,0,22,0,38,0,18,8.1343e+06,6.71372e+06,430.728,0,0,0,0,0,0,0,0
hologramImage24,213,112960577,23,0,0,0,0,23,0,38,0,18,8.2356e+06,6.99039e+06,443.85,0,0,0,0,0,0,0,0
hologramImage25,213,112961277,24,0,0,0,0,24,0,38,0,18,7.92575e+06,6.96228e+06,440.912,0,0,0,0,0,0,0,0
hologramImage26,213,112962067,25,0,0,0,0,25,0,38,0,18,7.63067e+06,6.67659e+06,433.391,0,0,0,0,0,0,0,0
hologramImage27,213,112962777,26,0,0,0,0,26,0,38,0,18,8.3124e+06,7.248e+06,460.105,0,0,0,0,0,0,0,0
hologramImage28,213,112963587,27,0,0,0,0,27,0,38,0,18,8.01449e+06,6.88111e+06,437.471,0,0,0,0,0,0,0,0
hologramImage29,213,112964477,28,0,0,0,0,28,0,38,0,18,8.48541e+06,6.86965e+06,436.076,0,0,0,0,0,0,0,0
hologramImage30,213,112965167,29,0,0,0,0,29,0,38,0,18,1.06828e+07,6.72398e+06,427.238,0,0,0,0,0,0,0,0
hologramImage31,213,112965977,30,0,0,0,0,30,0,38,0,18,1.95545e+07,6.98134e+06,440.993,0,0,0,0,0,0,0,0
hologramImage32,213,112966707,31,0,0,0,0,31,0,38,0,18,2.13334e+07,6.87118e+06,440.603,0,0,0,0,0,0,0,0
hologramImage33,213,112967527,32,0,0,0,0,32,0,38,0,18,1.87583e+07,6.95985e+06,442.063,0,0,0,0,0,0,0,0
hologramImage34,213,112968307,33,0,0,0,0,33,0,38,0,18,1.48529e+07,6.9341e+06,440.727,0,0,0,0,0,0,0,0
hologramImage35,213,112969087,34,0,0,0,0,34,0,38,0,18,1.32075e+07,6.94748e+06,432.811,0,0,0,0,0,0,0,0
hologramImage36,213,112969867,35,0,0,0,0,35,0,38,0,18,1.8096e+07,6.87731e+06,435.372,0,0,0,0,0,0,0,0
hologramImage37,213,112970647,36,0,0,0,0,36,0,38,0,18,1.8426e+07,7.0663e+06,447.487,0,0,0,0,0,0,0,0
hologramImage38,213,112971427,37,0,0,0,0,37,0,38,0,18,1.75872e+07,6.98949e+06,438.865,0,0,0,0,0,0,0,0
hologramImage39,213,112972347,38,0,0,0,0,38,0,38,0,18,1.68161e+07,7.12375e+06,451.883,0,0,0,0,0,0,0,0
hologramImage40,213,112973127,39,0,0,0,0,39,0,38,0,18,1.60296e+07,6.97532e+06,448.318,0,0,0,0,0,0,0,0
hologramImage41,213,112973937,40,0,0,0,0,40,0,38,0,18,1.5147e+07,6.76696e+06,437.361,0,0,0,0,0,0,0,0
hologramImage42,213,112974787,41,0,0,0,0,41,0,38,0,18,1.5449e+07,6.95519e+06,442.955,0,0,0,0,0,0,0,0
hologramImage43,213,112975587,42,0,0,0,0,42,0,38,0,18,1.4998e+07,6.89826e+06,438.345,0,0,0,0,0,0,0,0
hologramImage44,213,112976397,43,0,0,0,0,43,0,38,0,18,1.48626e+07,6.97398e+06,441.103,0,0,0,0,0,0,0,0
hologramImage45,213,112977097,44,0,0,0,0,44,0,38,0,18,1.50163e+07,6.98058e+06,443.126,0,0,0,0,0,0,0,0
hologramImage46,213,112977917,45,0,0,0,0,45,0,38,0,18,1.53963e+07,6.95533e+06,447.147,0,0,0,0,0,0,0,0
hologramImage47,213,112978827,46,0,0,0,0,46,0,38,0,18,1.44705e+07,6.78398e+06,432.979,0,0,0,0,0,0,0,0
hologramImage48,213,112979647,47,0,0,0,0,47,0,38,0,18,1.39931e+07,6.74239e+06,426.646,0,0,0,0,0,0,0,0
hologramImage49,213,112980467,48,0,0,0,0,48,0,38,0,18,1.42021e+07,6.59585e+06,426.048,0,0,0,0,0,0,0,0
hologramImage50,213,112981297,49,0,0,0,0,49,0,38,0,18,1.65532e+07,7.21084e+06,453.49,0,0,0,0,0,0,0,0
hologramImage51,213,112992377,0,1,0,0,0,0,1,38,0,18,1.19682e+07,6.66063e+06,427.436,0,0,0,0,0,0,0,0
hologramImage52,213,112993077,1,1,0,0,0,1,1,38,0,18,1.24307e+07,6.79647e+06,437.118,0,0,0,0,0,0,0,0
hologramImage53,213,112993857,2,1,0,0,0,2,1,38,0,18,1.31748e+07,7.06758e+06,445.925,0,0,0,0,0,0,0,0
hologramImage54,213,112994727,3,1,0,0,0,3,1,38,0,18,1.46737e+07,6.79016e+06,431.996,0,0,0,0,0,0,0,0
hologramImage55,213,112995437,4,1,0,0,0,4,1,38,0,18,1.63701e+07,7.01218e+06,443.123,0,0,0,0,0,0,0,0
hologramImage56,213,112996147,5,1,0,0,0,5,1,38,0,18,1.60702e+07,6.88062e+06,437.525,0,0,0,0,0,0,0,0
hologramImage57,213,112996867,6,1,0,0,0,6,1,38,0,18,1.61308e+07,6.76961e+06,436.568,0,0,0,0,0,0,0,0
hologramImage58,213,112997657,7,1,0,0,0,7,1,38,0,18,1.72767e+07,6.98018e+06,448.317,0,0,0,0,0,0,0,0
hologramImage59,213,112998437,8,1,0,0,0,8,1,38,0,18,1.79362e+07,7.30752e+06,456.796,0,0,0,0,0,0,0,0
