imageName,cameraID,POSIXTime,i,j,k,ustxX,ustxZ,x,y,z,azimuth,axial,roiFFTEnergy,rouFFTEnergy,imageMean,referenceBeamIntensity,objectBeamIntensity,ch2Mean,ch3Mean,ch0Std,ch1Std,ch2Std,ch3Std
hologramImage1,213,216687096,0,0,0,0,0,0,34,0.1,0,18,1.03045e+07,8.82084e+06,434.325,0,0,0,0,0,0,0,0
hologramImage2,213,216687826,1,0,0,0,0,0.5,34,0.1,0,18,1.05963e+07,8.9647e+06,440.559,0,0,0,0,0,0,0,0
hologramImage3,213,216688556,2,0,0,0,0,1,34,0.1,0,18,1.08757e+07,9.27827e+06,446.076,0,0,0,0,0,0,0,0
hologramImage4,213,216689306,3,0,0,0,0,1.5,34,0.1,0,18,1.08899e+07,9.3314e+06,444.202,0,0,0,0,0,0,0,0
hologramImage5,213,216689986,4,0,0,0,0,2,34,0.1,0,18,1.02496e+07,8.9222e+06,431.32,0,0,0,0,0,0,0,0
hologramImage6,213,216690676,5,0,0,0,0,2.5,34,0.1,0,18,1.07066e+07,9.09575e+06,439.586,0,0,0,0,0,0,0,0
hologramImage7,213,216691546,6,0,0,0,0,3,34,0.1,0,18,1.08531e+07,9.18421e+06,440.074,0,0,0,0,0,0,0,0
hologramImage8,213,216692216,7,0,0,0,0,3.5,34,0.1,0,18,1.07741e+07,9.14599e+06,442.647,0,0,0,0,0,0,0,0
hologramImage9,213,216692916,8,0,0,0,0,4,34,0.1,0,18,1.14095e+07,9.50444e+06,453.104,0,0,0,0,0,0,0,0
hologramImage10,213,216693636,9,0,0,0,0,4.5,34,0.1,0,18,1.12656e+07,9.26029e+06,446.683,0,0,0,0,0,0,0,0
hologramImage11,213,216694366,10,0,0,0,0,5,34,0.1,0,18,1.06701e+07,8.60404e+06,423.705,0,0,0,0,0,0,0,0
hologramImage12,213,216695106,11,0,0,0,0,5.5,34,0.1,0,18,1.19436e+07,9.5539e+06,453.338,0,0,0,0,0,0,0,0
hologramImage13,213,216695806,12,0,0,0,0,6,34,0.1,0,18,1.18107e+07,9.23222e+06,443.351,0,0,0,0,0,0,0,0
hologramImage14,213,216696536,13,0,0,0,0,6.5,34,0.1,0,18,1.24311e+07,9.25562e+06,447.773,0,0,0,0,0,0,0,0
hologramImage15,213,216697276,14,0,0,0,0,7,34,0.1,0,18,1.21473e+07,8.97123e+06,439.139,0,0,0,0,0,0,0,0
hologramImage16,213,216698056,15,0,0,0,0,7.5,34,0.1,0,18,1.18726e+07,8.98942e+06,435.874,0,0,0,0,0,0,0,0
hologramImage17,213,216698766,16,0,0,0,0,8,34,0.1,0,18,1.18769e+07,8.78415e+06,432.918,0,0,0,0,0,0,0,0
hologramImage18,213,216699516,17,0,0,0,0,8.5,34,0.1,0,18,1.20011e+07,9.00088e+06,435.582,0,0,0,0,0,0,0,0
hologramImage19,213,216700246,18,0,0,0,0,9,34,0.1,0,18,1.21544e+07,8.91325e+06,432.302,0,0,0,0,0,0,0,0
hologramImage20,213,216700986,19,0,0,0,0,9.5,34,0.1,0,18,1.19736e+07,8.76717e+06,430.788,0,0,0,0,0,0,0,0
hologramImage21,213,216701696,20,0,0,0,0,10,34,0.1,0,18,1.19478e+07,8.95566e+06,435.539,0,0,0,0,0,0,0,0
hologramImage22,213,216702426,21,0,0,0,0,10.5,34,0.1,0,18,1.14668e+07,8.83136e+06,435.436,0,0,0,0,0,0,0,0
hologramImage23,213,216703166,22,0,0,0,0,11,34,0.1,0,18,1.1373e+07,9.21614e+06,439.861,0,0,0,0,0,0,0,0
hologramImage24,213,216703896,23,0,0,0,0,11.5,34,0.1,0,18,1.10353e+07,8.93715e+06,435.254,0,0,0,0,0,0,0,0
hologramImage25,213,216704636,24,0,0,0,0,12,34,0.1,0,18,1.1119e+07,8.98387e+06,435.205,0,0,0,0,0,0,0,0
hologramImage26,213,216705356,25,0,0,0,0,12.5,34,0.1,0,18,1.13897e+07,9.17176e+06,443.436,0,0,0,0,0,0,0,0
hologramImage27,213,216706096,26,0,0,0,0,13,34,0.1,0,18,1.1456e+07,9.31445e+06,451.178,0,0,0,0,0,0,0,0
hologramImage28,213,216706856,27,0,0,0,0,13.5,34,0.1,0,18,1.11398e+07,8.93937e+06,438.034,0,0,0,0,0,0,0,0
hologramImage29,213,216707586,28,0,0,0,0,14,34,0.1,0,18,1.12965e+07,9.04244e+06,441.467,0,0,0,0,0,0,0,0
hologramImage30,213,216708296,29,0,0,0,0,14.5,34,0.1,0,18,1.1275e+07,9.00899e+06,438.557,0,0,0,0,0,0,0,0
hologramImage31,213,216709036,30,0,0,0,0,15,34,0.1,0,18,1.20001e+07,9.57499e+06,456.157,0,0,0,0,0,0,0,0
hologramImage32,213,216709756,31,0,0,0,0,15.5,34,0.1,0,18,1.16703e+07,9.38974e+06,448.253,0,0,0,0,0,0,0,0
hologramImage33,213,216710506,32,0,0,0,0,16,34,0.1,0,18,1.12373e+07,9.00694e+06,435.75,0,0,0,0,0,0,0,0
hologramImage34,213,216711206,33,0,0,0,0,16.5,34,0.1,0,18,1.15687e+07,9.2303e+06,441.92,0,0,0,0,0,0,0,0
hologramImage35,213,216711936,34,0,0,0,0,17,34,0.1,0,18,1.16223e+07,9.36245e+06,447.01,0,0,0,0,0,0,0,0
hologramImage36,213,216712666,35,0,0,0,0,17.5,34,0.1,0,18,1.13086e+07,8.97167e+06,438.122,0,0,0,0,0,0,0,0
hologramImage37,213,216713416,36,0,0,0,0,18,34,0.1,0,18,1.14272e+07,9.11711e+06,442.097,0,0,0,0,0,0,0,0
hologramImage38,213,216714096,37,0,0,0,0,18.5,34,0.1,0,18,1.13214e+07,9.09538e+06,440.092,0,0,0,0,0,0,0,0
hologramImage39,213,216714816,38,0,0,0,0,19,34,0.1,0,18,1.10262e+07,8.72675e+06,430.778,0,0,0,0,0,0,0,0
hologramImage40,213,216715566,39,0,0,0,0,19.5,34,0.1,0,18,1.14553e+07,9.21672e+06,441.437,0,0,0,0,0,0,0,0
hologramImage41,213,216716316,40,0,0,0,0,20,34,0.1,0,18,1.11936e+07,8.85519e+06,429.873,0,0,0,0,0,0,0,0
hologramImage42,213,216716986,41,0,0,0,0,20.5,34,0.1,0,18,1.15483e+07,8.94926e+06,431.217,0,0,0,0,0,0,0,0
hologramImage43,213,216717706,42,0,0,0,0,21,34,0.1,0,18,1.14488e+07,9.00882e+06,429.134,0,0,0,0,0,0,0,0
hologramImage44,213,216718446,43,0,0,0,0,21.5,34,0.1,0,18,1.1892e+07,9.09435e+06,437.574,0,0,0,0,0,0,0,0
hologramImage45,213,216719196,44,0,0,0,0,22,34,0.1,0,18,1.18615e+07,8.8455e+06,429.834,0,0,0,0,0,0,0,0
hologramImage46,213,216719886,45,0,0,0,0,22.5,34,0.1,0,18,1.24338e+07,9.14448e+06,434.65,0,0,0,0,0,0,0,0
hologramImage47,213,216720616,46,0,0,0,0,23,34,0.1,0,18,1.25274e+07,9.00859e+06,435.257,0,0,0,0,0,0,0,0
hologramImage48,213,216721336,47,0,0,0,0,23.5,34,0.1,0,18,1.24812e+07,8.93114e+06,429.208,0,0,0,0,0,0,0,0
hologramImage49,213,216722096,48,0,0,0,0,24,34,0.1,0,18,1.30329e+07,9.18462e+06,437.447,0,0,0,0,0,0,0,0
hologramImage50,213,216722796,49,0,0,0,0,24.5,34,0.1,0,18,1.32309e+07,9.01639e+06,438.457,0,0,0,0,0,0,0,0
hologramImage51,213,216723526,50,0,0,0,0,25,34,0.1,0,18,1.27194e+07,8.77019e+06,425.561,0,0,0,0,0,0,0,0
hologramImage52,213,216724286,51,0,0,0,0,25.5,34,0.1,0,18,1.30836e+07,8.85534e+06,426.347,0,0,0,0,0,0,0,0
hologramImage53,213,216725036,52,0,0,0,0,26,34,0.1,0,18,1.37671e+07,8.93854e+06,430.083,0,0,0,0,0,0,0,0
hologramImage54,213,216725736,53,0,0,0,0,26.5,34,0.1,0,18,1.44682e+07,9.09332e+06,441.081,0,0,0,0,0,0,0,0
hologramImage55,213,216726456,54,0,0,0,0,27,34,0.1,0,18,1.56704e+07,9.391e+06,452.209,0,0,0,0,0,0,0,0
hologramImage56,213,216727216,55,0,0,0,0,27.5,34,0.1,0,18,1.50461e+07,8.97242e+06,434.113,0,0,0,0,0,0,0,0
hologramImage57,213,216727966,56,0,0,0,0,28,34,0.1,0,18,1.63542e+07,9.32331e+06,446.019,0,0,0,0,0,0,0,0
hologramImage58,213,216728676,57,0,0,0,0,28.5,34,0.1,0,18,1.59249e+07,9.02213e+06,433.217,0,0,0,0,0,0,0,0
hologramImage59,213,216729406,58,0,0,0,0,29,34,0.1,0,18,1.63532e+07,9.12294e+06,437.61,0,0,0,0,0,0,0,0
hologramImage60,213,216730136,59,0,0,0,0,29.5,34,0.1,0,18,1.61685e+07,8.95928e+06,432.552,0,0,0,0,0,0,0,0
hologramImage61,213,216730876,60,0,0,0,0,30,34,0.1,0,18,1.75205e+07,9.5239e+06,452.015,0,0,0,0,0,0,0,0
hologramImage62,213,216731636,61,0,0,0,0,30.5,34,0.1,0,18,1.57604e+07,8.83535e+06,429.261,0,0,0,0,0,0,0,0
hologramImage63,213,216732356,62,0,0,0,0,31,34,0.1,0,18,1.60883e+07,9.09421e+06,435.596,0,0,0,0,0,0,0,0
hologramImage64,213,216733086,63,0,0,0,0,31.5,34,0.1,0,18,1.5723e+07,8.99191e+06,436.445,0,0,0,0,0,0,0,0
hologramImage65,213,216733856,64,0,0,0,0,32,34,0.1,0,18,1.52025e+07,8.87176e+06,431.358,0,0,0,0,0,0,0,0
hologramImage66,213,216734616,65,0,0,0,0,32.5,34,0.1,0,18,1.52237e+07,9.14737e+06,442.718,0,0,0,0,0,0,0,0
hologramImage67,213,216735326,66,0,0,0,0,33,34,0.1,0,18,1.46365e+07,9.01437e+06,434.5,0,0,0,0,0,0,0,0
hologramImage68,213,216736046,67,0,0,0,0,33.5,34,0.1,0,18,1.48869e+07,9.25173e+06,443.14,0,0,0,0,0,0,0,0
hologramImage69,213,216736786,68,0,0,0,0,34,34,0.1,0,18,1.40735e+07,8.77957e+06,431.452,0,0,0,0,0,0,0,0
hologramImage70,213,216737525,69,0,0,0,0,34.5,34,0.1,0,18,1.36918e+07,8.78973e+06,433.484,0,0,0,0,0,0,0,0
hologramImage71,213,216738236,70,0,0,0,0,35,34,0.1,0,18,1.40037e+07,9.272e+06,445.665,0,0,0,0,0,0,0,0
hologramImage72,213,216738935,71,0,0,0,0,35.5,34,0.1,0,18,1.33575e+07,9.03435e+06,437.171,0,0,0,0,0,0,0,0
hologramImage73,213,216739685,72,0,0,0,0,36,34,0.1,0,18,1.24443e+07,8.88477e+06,432.752,0,0,0,0,0,0,0,0
hologramImage74,213,216740435,73,0,0,0,0,36.5,34,0.1,0,18,1.255e+07,9.17479e+06,438.318,0,0,0,0,0,0,0,0
hologramImage75,213,216741115,74,0,0,0,0,37,34,0.1,0,18,1.18982e+07,8.97703e+06,434.1,0,0,0,0,0,0,0,0
hologramImage76,213,216741835,75,0,0,0,0,37.5,34,0.1,0,18,1.14885e+07,8.99343e+06,431.789,0,0,0,0,0,0,0,0
hologramImage77,213,216742565,76,0,0,0,0,38,34,0.1,0,18,1.12414e+07,8.77201e+06,427.025,0,0,0,0,0,0,0,0
hologramImage78,213,216743305,77,0,0,0,0,38.5,34,0.1,0,18,1.06298e+07,8.78255e+06,424.593,0,0,0,0,0,0,0,0
hologramImage79,213,216744025,78,0,0,0,0,39,34,0.1,0,18,1.13398e+07,9.37721e+06,448.456,0,0,0,0,0,0,0,0
hologramImage80,213,216744755,79,0,0,0,0,39.5,34,0.1,0,18,1.11476e+07,9.42856e+06,446.185,0,0,0,0,0,0,0,0
hologramImage81,213,216745475,80,0,0,0,0,40,34,0.1,0,18,1.09711e+07,9.32582e+06,447.562,0,0,0,0,0,0,0,0
hologramImage82,213,216746225,81,0,0,0,0,40.5,34,0.1,0,18,1.03524e+07,8.881e+06,427.949,0,0,0,0,0,0,0,0
hologramImage83,213,216746925,82,0,0,0,0,41,34,0.1,0,18,1.07211e+07,9.2688e+06,439.083,0,0,0,0,0,0,0,0
hologramImage84,213,216747645,83,0,0,0,0,41.5,34,0.1,0,18,1.0433e+07,9.02237e+06,431.736,0,0,0,0,0,0,0,0
hologramImage85,213,216748365,84,0,0,0,0,42,34,0.1,0,18,1.05689e+07,9.12673e+06,438.317,0,0,0,0,0,0,0,0
hologramImage86,213,216749115,85,0,0,0,0,42.5,34,0.1,0,18,1.05513e+07,9.09219e+06,438.015,0,0,0,0,0,0,0,0
hologramImage87,213,216749805,86,0,0,0,0,43,34,0.1,0,18,1.0397e+07,8.98068e+06,433.372,0,0,0,0,0,0,0,0
hologramImage88,213,216750555,87,0,0,0,0,43.5,34,0.1,0,18,1.0513e+07,9.08771e+06,438.274,0,0,0,0,0,0,0,0
hologramImage89,213,216751285,88,0,0,0,0,44,34,0.1,0,18,1.05193e+07,9.21717e+06,439.858,0,0,0,0,0,0,0,0
hologramImage90,213,216752035,89,0,0,0,0,44.5,34,0.1,0,18,1.04151e+07,9.29031e+06,440.591,0,0,0,0,0,0,0,0
hologramImage91,213,216752745,90,0,0,0,0,45,34,0.1,0,18,1.05571e+07,9.07794e+06,438.463,0,0,0,0,0,0,0,0
hologramImage92,213,216753475,91,0,0,0,0,45.5,34,0.1,0,18,1.03713e+07,9.02965e+06,430.813,0,0,0,0,0,0,0,0
hologramImage93,213,216754225,92,0,0,0,0,46,34,0.1,0,18,1.02164e+07,9.16315e+06,432.105,0,0,0,0,0,0,0,0
hologramImage94,213,216754975,93,0,0,0,0,46.5,34,0.1,0,18,1.02342e+07,9.07163e+06,432.785,0,0,0,0,0,0,0,0
